IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP 
104,1,4795.64,3579.49,3129.62,3121.03,5761.03,3944.23,2558.72,3894.49,3215.51,6133.72,4805.51,2106.79,3772.44,5184.62,14564,14201,1780,0,12.313,
105,1,4767.82,3620.13,3176.67,3169.74,5688.97,3954.23,2631.54,3905.77,3257.31,6042.95,4775.64,2198.85,3791.54,5137.82,13902,14201,1780,0,12.3169,
106,1,4740,3660.77,3223.72,3218.46,5616.92,3964.23,2704.36,3917.05,3299.1,5952.18,4745.77,2290.9,3810.64,5091.03,13240,14201,1780,0,12.3209,
107,1,4712.18,3701.41,3270.77,3267.18,5544.87,3974.23,2777.18,3928.33,3340.9,5861.41,4715.9,2382.95,3829.74,5044.23,12578,14201,1780,0,12.3248,
108,1,4684.36,3742.05,3317.82,3315.9,5472.82,3984.23,2850,3939.62,3382.69,5770.64,4686.03,2475,3848.85,4997.44,11916,14201,1780,0,12.3288,
109,1,4656.54,3782.69,3364.87,3364.62,5400.77,3994.23,2922.82,3950.9,3424.49,5679.87,4656.15,2567.05,3867.95,4950.64,11254,14201,1780,0,12.3327,
110,1,4628.72,3823.33,3411.92,3413.33,5328.72,4004.23,2995.64,3962.18,3466.28,5589.1,4626.28,2659.1,3887.05,4903.85,10592,14201,1780,0,12.3366,
111,1,4600.9,3863.97,3458.97,3462.05,5256.67,4014.23,3068.46,3973.46,3508.08,5498.33,4596.41,2751.15,3906.15,4857.05,9930,14201,1780,0,12.3406,
112,1,4573.08,3904.62,3506.03,3510.77,5184.62,4024.23,3141.28,3984.74,3549.87,5407.56,4566.54,2843.21,3925.26,4810.26,9268,14201,1780,0,12.3445,
113,1,4545.26,3945.26,3553.08,3559.49,5112.56,4034.23,3214.1,3996.03,3591.67,5316.79,4536.67,2935.26,3944.36,4763.46,8606,14201,1780,0,12.3485,
114,1,4517.44,3985.9,3600.13,3608.21,5040.51,4044.23,3286.92,4007.31,3633.46,5226.03,4506.79,3027.31,3963.46,4716.67,7944,14201,1780,0,12.3524,
