IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP,
122,0,4181.03,4181.54,4178.46,4223.08,4167.69,4172.82,4174.36,4157.95,4244.62,4165.64,4172.82,4206.15,4181.03,4180,837,2048,2044,0,10.7633,
123,0,4176.41,4178.97,4169.23,4224.62,4169.74,4167.18,4173.85,4154.36,4246.15,4158.46,4166.15,4210.26,4167.18,4168.72,847,2048,2045,0,10.7712,
124,0,4166.67,4172.31,4165.13,4231.28,4165.13,4167.69,4164.62,4153.85,4249.23,4154.36,4153.85,4212.31,4151.79,4155.38,850,2047,2044,0,10.7791,
125,0,4167.18,4175.9,4172.31,4226.67,4162.05,4169.23,4169.74,4162.56,4244.62,4162.05,4162.56,4211.28,4158.97,4163.08,524,2044,2043,0,10.7869,
126,0,4166.15,4170.77,4171.28,4227.69,4158.46,4163.08,4177.95,4162.56,4244.62,4158.97,4164.62,4210.26,4160,4162.56,837,2044,2045,0,10.7948,
127,0,4160,4158.46,4167.18,4235.38,4155.9,4161.54,4176.41,4152.82,4251.79,4147.18,4149.74,4212.82,4146.15,4149.23,847,2042,2044,0,10.8027,
128,0,4164.1,4161.54,4167.69,4232.31,4161.03,4163.59,4173.33,4158.46,4247.18,4152.82,4154.36,4214.87,4147.18,4151.79,850,2042,2044,0,10.8106,
0,0,4166.67,4168.21,4170.77,4229.74,4162.05,4165.13,4164.62,4162.05,4243.59,4157.44,4164.1,4211.79,4155.38,4156.92,548,2041,2048,0,10.8106,
1,0,4167.18,4172.82,4168.72,4230.77,4163.59,4162.56,4157.95,4149.74,4247.69,4153.33,4159.49,4211.79,4160,4156.41,831,2040,2045,0,10.8185,
2,0,4165.64,4168.72,4166.67,4237.95,4161.03,4160.51,4158.46,4138.97,4251.28,4149.23,4154.87,4214.87,4157.44,4154.87,837,2043,2047,0,10.8263,
3,0,4161.54,4158.46,4165.64,4246.15,4155.9,4163.08,4157.44,4144.1,4248.72,4152.82,4156.41,4217.44,4152.82,4155.38,842,2043,2047,0,10.8342,
4,0,4165.13,4160.51,4162.05,4241.03,4162.05,4169.74,4164.1,4158.97,4238.97,4159.49,4158.46,4217.95,4156.41,4158.46,876,2040,2046,0,10.8421,
5,0,4165.64,4165.64,4165.64,4235.38,4166.67,4174.36,4173.85,4163.59,4236.92,4156.92,4157.44,4220,4157.95,4153.33,573,2040,2047,0,10.85,
6,0,4168.21,4169.74,4170.26,4231.28,4169.74,4174.87,4175.9,4169.23,4232.82,4162.56,4162.05,4222.05,4161.54,4152.31,790,2041,2044,0,10.8579,
7,0,4171.28,4172.31,4168.72,4228.72,4172.31,4176.41,4177.44,4177.44,4225.13,4174.36,4163.08,4218.46,4163.59,4156.41,807,2041,2046,0,10.8657,
8,0,4166.15,4168.72,4167.18,4231.28,4168.72,4172.31,4179.49,4176.41,4225.13,4170.77,4158.97,4218.46,4157.44,4153.33,785,2041,2045,0,10.8736,
9,0,4162.05,4164.62,4166.15,4237.95,4164.1,4166.67,4175.9,4171.28,4226.67,4165.64,4162.56,4220.51,4156.41,4152.31,866,2041,2045,0,10.8815,
10,0,4161.03,4161.54,4167.69,4244.1,4157.44,4165.64,4164.1,4162.56,4228.72,4162.56,4161.03,4214.36,4156.92,4152.82,837,2043,2046,0,10.8894,
11,0,4167.18,4165.64,4169.74,4238.97,4158.46,4164.62,4161.54,4157.95,4234.87,4163.08,4158.46,4211.28,4160.51,4155.9,847,2044,2043,0,10.8973,
12,0,4172.82,4170.77,4173.33,4228.72,4161.54,4168.21,4169.23,4157.44,4241.54,4168.72,4163.08,4211.79,4164.62,4159.49,850,2043,2042,0,10.9051,
13,0,4173.33,4172.31,4177.95,4227.69,4161.54,4171.28,4170.26,4149.74,4242.56,4162.56,4162.05,4211.79,4159.49,4156.92,524,2044,2040,0,10.913,
14,0,4175.9,4172.82,4175.9,4232.31,4166.15,4165.13,4168.21,4141.54,4242.56,4150.26,4156.41,4215.9,4154.36,4154.36,837,2045,2040,0,10.9209,
15,0,4175.38,4170.77,4173.33,4232.31,4170.26,4164.1,4163.59,4141.03,4248.21,4150.26,4154.87,4213.33,4154.36,4154.36,847,2045,2038,0,10.9288,
16,0,4177.44,4177.44,4172.82,4225.13,4174.87,4168.21,4161.03,4146.67,4245.64,4162.05,4159.49,4208.21,4162.56,4162.56,0,2045,2037,0,10.9367,
17,0,4183.08,4185.64,4175.38,4223.59,4178.46,4167.18,4160,4149.23,4240.51,4163.59,4164.62,4209.74,4169.23,4171.28,0,2044,2036,0,10.9445,
18,0,4184.1,4182.05,4179.49,4226.67,4173.85,4166.15,4154.36,4144.1,4246.67,4152.82,4166.67,4211.79,4166.15,4168.72,0,2043,2036,0,10.9524,
